id,status_group
11466,functional
22313,non functional
30179,functional
23505,non functional
48424,functional
11150,functional
70368,non functional
26935,non functional
5919,functional
2134,non functional
16652,non functional
59302,functional
24210,functional
6211,non functional
19743,functional
10760,non functional
48104,functional
50171,non functional
63137,functional
38301,non functional
10948,non functional
33232,functional
61415,functional
69131,non functional
73555,functional
46610,functional
20922,functional needs repair
55743,functional
19341,functional
9588,non functional
3293,functional
55490,functional
67678,functional
36119,functional
62775,non functional
68162,non functional
66128,non functional
12036,non functional
15739,functional
57048,functional
15825,non functional
45590,functional
18055,functional
34073,functional
14860,non functional
53713,functional
69327,functional
60169,non functional
26798,functional
37122,functional
45156,functional
22874,non functional
58774,functional
40092,non functional
17487,functional
35886,non functional
49892,functional
66338,functional
35481,non functional
4135,functional
54191,functional
31349,functional
72271,non functional
48863,functional
13758,functional
33443,functional
12003,functional
10845,functional
47,functional
70492,non functional
11346,functional needs repair
20126,functional
51000,functional needs repair
64505,non functional
58329,non functional
6311,functional
22286,functional
35013,functional
6274,non functional
30904,functional needs repair
46606,non functional
18461,functional
15256,functional
625,functional
42122,functional
18277,functional
68501,non functional
8816,non functional
62879,functional
18554,functional needs repair
27712,functional
46935,functional
57804,functional
57711,non functional
5516,functional
8305,functional
57410,non functional
51412,functional
25863,functional
35994,functional
55279,functional
74102,non functional
38277,functional
1998,non functional
52056,non functional
63679,functional
71762,functional
71432,non functional
45592,non functional
13663,functional
62227,functional
3730,functional
2451,non functional
46418,non functional
45996,functional
60911,non functional
46089,functional
65579,functional
40407,non functional
66663,functional
26597,non functional
50540,non functional
58133,functional
1493,functional
31503,functional
17910,functional
19466,non functional
38120,functional
66553,non functional
31696,functional needs repair
51318,functional
33584,functional
48678,non functional
36112,non functional
6294,functional
40612,non functional
62793,non functional
58090,non functional
2532,functional
38865,functional
35462,non functional
51709,functional
40624,functional
41745,non functional
42315,non functional
38952,functional
45540,functional
73833,functional
27771,functional
9336,functional
12545,non functional
54811,functional
48326,functional
31787,functional
61745,functional
42091,non functional
43727,functional
46917,functional
26718,functional
3138,functional
72932,functional
25707,non functional
68580,functional
25064,functional
7624,non functional
3830,non functional
13458,functional
57377,functional
37294,non functional
39561,non functional
23237,functional
72484,functional
56490,non functional
13706,functional
43035,non functional
14084,functional
55875,functional
17299,functional
1793,non functional
70943,non functional
65720,functional
49165,functional
18879,functional
3574,non functional
56735,non functional
45481,functional
51772,functional
74095,functional
54000,functional
34834,functional
50175,functional
35733,functional
6808,functional
27311,functional
73303,non functional
70335,functional
2691,functional
12582,non functional
49536,functional
23715,functional
45445,non functional
52609,functional
35087,functional
42767,functional
24373,functional
32895,functional
9328,functional
23275,functional
20054,non functional
8378,functional
47432,non functional
49863,functional
57828,functional
31169,non functional
38382,functional
31205,functional
23528,functional
26507,functional
67091,functional
47734,non functional
927,functional
48521,non functional
16963,non functional
48233,functional
58989,non functional
2399,functional
23530,functional
46271,functional
71726,functional
23526,functional
49861,functional needs repair
22619,functional
41264,functional
20623,functional
35694,functional
68210,functional
13446,functional
11321,functional
56312,non functional
19533,non functional
7275,functional
48614,non functional
65873,functional
9008,functional
36817,non functional
25767,non functional
38460,functional
16756,non functional
13310,non functional
36514,functional
57548,functional
2809,functional
70632,non functional
17260,functional
27950,functional
40629,functional
64155,functional
50640,functional
67355,functional
32132,functional
70868,non functional
45823,functional
19985,functional
61834,non functional
54171,functional
62763,functional needs repair
42408,non functional
13151,non functional
28311,non functional
57775,non functional
37603,non functional
56357,functional
37845,functional
57177,functional
12821,functional
8193,functional
49031,functional
14011,non functional
33708,non functional
68898,non functional
37198,functional
11151,functional
22264,non functional
49694,non functional
47318,functional
46108,functional
28297,functional
36340,functional
26987,functional
5766,non functional
25979,non functional
73021,functional
11908,functional
47496,non functional
61777,functional
47591,functional
8968,functional
45656,functional
39630,functional
2786,functional
958,functional
55843,functional
52074,functional
23422,non functional
55802,functional
61634,functional
1625,functional
37398,functional
51011,functional
49595,non functional
22486,non functional
22916,functional
45204,functional
74223,functional
35533,functional
30595,non functional
47319,functional
32555,functional
9520,non functional
53253,non functional
36436,functional
15036,functional
23175,functional
41998,non functional
19345,functional
1198,functional
39848,functional
39278,non functional
39844,functional
17332,non functional
51287,functional
49514,functional
64288,functional
41782,functional
54572,non functional
68079,functional
68017,functional
66705,functional
5274,non functional
58230,non functional
51010,non functional
46242,functional
1917,functional
9361,non functional
33043,non functional
56633,functional
57518,functional
51128,functional
4388,functional needs repair
62267,functional
72473,functional
70957,functional
35399,non functional
33236,non functional
73183,non functional
52939,functional
66929,functional
54326,non functional
16343,functional
33013,functional
60384,functional
41074,functional
71997,functional
35190,functional needs repair
3425,non functional
4335,functional
7399,functional
46431,functional
40845,functional
27347,non functional
10981,functional
36447,functional
67485,functional
11220,functional
45857,functional
21806,functional
8771,non functional
45535,functional
8671,non functional
2252,functional
58078,non functional
61068,non functional
69204,functional
28326,non functional
46930,non functional
52104,functional
31732,functional
21584,functional
17045,functional
14404,non functional
34699,functional needs repair
39930,functional
38744,functional
4339,functional
54735,functional
51916,non functional
58114,functional needs repair
28339,functional
52048,functional
66497,non functional
18353,non functional
16701,functional
59499,non functional
66042,functional needs repair
43965,non functional
48361,non functional
70766,functional
9510,functional
28586,non functional
28521,non functional
18050,functional
73151,non functional
45011,functional
64380,non functional
66896,functional
40184,functional
67207,functional
70178,functional
54063,functional
39252,non functional
53773,functional
47931,functional
44168,functional
66540,functional needs repair
54089,non functional
29244,functional
27525,non functional
58991,functional
18087,non functional
67803,functional
48006,non functional
11788,functional
16100,functional
16382,functional
21208,functional
8637,non functional
67008,functional
67914,functional
7041,functional
43181,functional
26191,functional
14766,non functional
49812,functional
12705,functional needs repair
25422,functional
9399,functional
4239,non functional
49442,non functional
32,functional
11443,functional
15492,functional
63498,functional
12708,functional
19483,functional
31204,functional
33445,functional
40820,functional needs repair
10279,functional
46718,functional
39000,functional
45897,non functional
62154,non functional
50034,non functional
11853,non functional
40426,functional
41168,functional
58978,non functional
31363,non functional
32736,functional
29058,functional
23824,non functional
61885,functional
59187,functional
73243,functional
62915,non functional
1784,non functional
65951,non functional
20661,non functional
55504,functional
66975,functional
72057,functional
49331,functional
52682,functional
37859,functional
10460,functional
12407,functional
69993,non functional
13012,functional
70896,functional
13264,functional
51824,functional
60216,non functional
57481,non functional
3996,functional
24854,non functional
43420,non functional
70468,non functional
38305,functional needs repair
57179,non functional
70388,non functional
67589,functional
69974,functional
8854,non functional
71663,functional
69272,functional
49119,functional
15638,functional needs repair
9086,functional
56422,functional
39106,non functional
4515,functional
48594,non functional
63779,non functional
60740,non functional
61242,non functional
65001,functional
2601,functional
52456,functional
21873,functional
25505,functional
21890,functional
52336,functional
57756,functional
45465,functional
4989,functional
51585,non functional
50533,functional
54866,functional
23793,functional
50135,functional
26549,functional
66920,functional
35517,non functional
390,functional
13645,non functional
39327,functional
58900,non functional
2100,functional
31521,functional
277,functional
33937,functional
42545,functional
7614,non functional
46861,functional
35278,functional
71773,non functional
52392,functional
47229,functional
10716,functional
13923,non functional
42206,functional
965,functional
66646,non functional
17301,functional
21533,functional
37797,functional
19241,non functional
15296,non functional
41472,functional
73859,functional
20153,functional
71684,non functional
8321,functional
68979,non functional
48850,non functional
64251,functional
3583,functional
33326,non functional
8500,functional
67047,functional
24896,non functional
39527,functional
3089,non functional
66477,functional
24107,functional needs repair
7823,functional
32016,functional
35048,functional
70580,non functional
47503,functional
37357,functional
1195,functional
52309,non functional
19655,functional
39455,functional
52757,functional
62729,non functional
24324,functional
51298,functional
17127,functional
28152,non functional
14259,non functional
47461,non functional
65878,functional
58913,non functional
70035,non functional
37446,functional
30337,non functional
57584,non functional
67193,functional
62103,non functional
22896,functional
5934,non functional
61722,functional
9299,functional
68558,functional
51165,non functional
8657,functional
54952,non functional
53160,non functional
17393,functional
33016,non functional
25929,functional
41102,non functional
11093,functional
52744,functional
23484,non functional
13139,non functional
55439,functional
41539,non functional
47692,non functional
60165,functional
64683,non functional
7089,functional
13516,functional
47720,functional
22588,non functional
28580,non functional
9075,non functional
25066,functional
28284,functional
67568,functional
64823,functional needs repair
8243,non functional
2556,non functional
58746,functional
18288,functional
72822,functional
5178,non functional
66294,functional
14451,functional
48600,non functional
27513,functional
36889,functional
663,functional
10646,functional
35103,functional
50804,non functional
29635,functional
47604,functional
49844,functional
69068,non functional
43074,functional
71088,functional
40470,functional
21920,non functional
51415,functional
15480,non functional
21881,functional
7780,functional
24908,functional
53915,functional
54560,non functional
15498,functional
20446,non functional
5886,non functional
52883,functional
30892,functional
37432,functional
42574,non functional
61505,functional
44827,functional
5951,functional
48991,functional
22821,functional
46478,functional
19831,functional
49317,functional
18472,functional
58686,non functional
47419,functional
44921,functional
55024,functional
28971,functional
8108,functional
32182,functional
40513,non functional
372,functional
49297,functional
24407,non functional
44874,non functional
25119,functional
3882,functional
73443,functional
56056,non functional
22035,non functional
46318,functional
20802,functional
41941,non functional
12044,functional
47262,functional
19337,functional
38688,non functional
45341,functional
55661,functional
32322,functional needs repair
41912,functional
26136,non functional
13480,functional
62035,functional
50343,functional
68537,non functional
52293,functional
17764,non functional
67862,non functional
38933,functional
68514,functional
65335,non functional
27469,functional
31290,non functional
72594,functional
2854,non functional
19679,functional
46470,non functional
9931,functional
39214,functional
3982,functional
29633,functional
50872,non functional
31969,functional
51280,functional
63438,non functional
52302,functional
44486,non functional
4641,non functional
47724,non functional
4393,functional
54938,functional
66983,non functional
55870,non functional
62561,functional
7975,non functional
9418,non functional
4929,non functional
68311,non functional
15225,non functional
51854,non functional
40247,functional
37958,functional
19319,functional
27495,functional
20111,non functional
33231,functional
44772,functional
53237,non functional
23279,functional
66738,functional
73053,functional
31190,functional
54820,functional
54173,functional
40904,functional
43729,non functional
63132,functional
65274,functional
2012,functional
70647,functional
6067,non functional
47835,functional
14510,functional
34536,non functional
50168,non functional
65018,functional
4960,non functional
19291,non functional
11480,functional
74179,functional
46276,functional
69469,functional
51844,non functional
13340,non functional
34046,non functional
72429,non functional
60034,functional
36173,functional
66575,functional
33778,functional needs repair
52807,functional
37283,functional
53688,non functional
54777,functional
10363,non functional
42685,functional
29334,non functional
17320,functional
7060,functional
3905,non functional
14607,non functional
59091,non functional
44927,functional
59415,functional
59722,functional
49411,functional
40903,non functional
64786,functional
36207,functional
61178,functional
55377,functional
34300,functional
29483,functional
58576,functional
37659,functional
63873,non functional
55723,non functional
9950,functional
49680,functional
30329,non functional
64912,functional
21165,non functional
42112,functional
25108,non functional
55021,functional
14319,functional
23587,functional
27217,functional
62333,functional
3284,non functional
38299,non functional
35668,functional
10228,functional
67801,non functional
63324,functional
33451,functional
46306,functional
37149,non functional
29770,functional
14731,non functional
7963,non functional
55945,non functional
7645,non functional
7244,functional
40114,functional
37615,functional
54151,non functional
64712,functional
40499,non functional
71171,non functional
20712,non functional
20187,non functional
12383,non functional
33364,non functional
9646,functional
12201,functional
1782,non functional
42747,functional
12125,non functional
53260,functional
55023,non functional
7865,functional needs repair
66269,functional
45049,functional
4988,functional
17387,functional
41771,non functional
44806,non functional
9157,non functional
70881,non functional
59951,functional
47581,functional
14986,functional
71499,non functional
32928,non functional
11934,non functional
54065,functional needs repair
25479,functional
38302,non functional
32973,non functional
52140,functional
51060,non functional
33106,functional needs repair
55127,functional
8640,non functional
43117,functional
9966,non functional
11183,functional
72250,functional
50586,functional
48093,functional
37435,functional
9379,functional
65657,functional
34535,functional
26262,functional needs repair
14458,functional
33972,non functional
40238,functional
70610,functional
47960,functional
71481,functional
10946,non functional
68239,functional
56314,functional
20772,non functional
41027,functional
57639,non functional
42841,functional
8016,functional
38349,functional
68114,functional
53733,functional
53513,non functional
50420,functional
31043,functional
11436,functional
66544,functional needs repair
66297,functional
9975,functional
21663,non functional
66747,functional
8343,functional
43675,functional
12325,functional
27609,functional
70092,non functional
4092,functional
60469,non functional
15869,functional
31689,functional
40197,non functional
35039,functional
19866,functional
65864,non functional
54111,functional
65616,functional
24954,non functional
55924,non functional
48299,functional
51679,functional needs repair
7861,functional
74037,functional
2367,non functional
60329,functional
16467,non functional
36876,functional
42906,non functional
58855,functional
48072,non functional
34861,functional
38446,functional
25076,functional
42010,non functional
27880,non functional
49961,non functional
32989,non functional
17483,functional
54815,functional
16359,functional
54840,functional
6252,functional
46589,non functional
65044,non functional
52749,functional
31792,functional
72814,functional
19523,functional
32936,non functional
28011,functional
49940,functional
21296,functional
57692,non functional
60900,functional
69726,functional
4707,non functional
5501,non functional
37805,functional
20466,functional
915,functional
15844,non functional
60509,non functional
22552,non functional
47386,non functional
8521,functional
54730,functional
58417,non functional
11731,non functional
40490,functional
17385,functional
63184,functional
45621,non functional
42679,functional
64602,functional
33317,non functional
38658,functional
64299,non functional
36030,functional
18940,non functional
45669,functional
19668,functional
44209,functional
73269,non functional
72767,functional
68471,functional
907,functional
57724,functional
19492,functional
18247,non functional
61793,non functional
68182,functional
69769,non functional
1580,functional
9327,non functional
18330,functional
9250,functional
29932,non functional
22830,functional
58200,non functional
30920,non functional
9138,functional
50234,functional
54691,non functional
16393,functional
56549,functional
9832,non functional
31881,functional
12886,functional
58897,non functional
830,functional
15950,functional needs repair
26265,functional
46220,functional
22347,functional
2860,non functional
19021,functional
3484,non functional
30298,non functional
39782,functional
74005,functional
5674,functional
9381,functional
3895,functional
1673,functional
29551,functional
41475,functional
67870,functional
2791,non functional
42255,functional
67164,functional
12440,functional
13193,functional
60880,functional
71008,functional
67514,functional
34910,non functional
383,functional
23977,functional
70543,non functional
2906,functional
33810,functional
10021,functional
46730,functional
1663,functional
2408,functional
72505,non functional
65019,functional
42313,functional
340,functional
50285,functional needs repair
3409,non functional
26378,functional
47552,non functional
32262,non functional
58637,non functional
34827,functional
63294,non functional
44867,non functional
26751,functional
66574,functional needs repair
39354,functional
21479,functional
57899,non functional
60079,functional
62070,functional
20628,functional
11344,functional
62122,functional
51867,functional
51667,non functional
16857,functional needs repair
27022,non functional
10438,non functional
57755,non functional
22384,functional
3380,non functional
41843,functional
35208,functional
37152,functional needs repair
47925,functional
43946,functional
2932,non functional
11829,non functional
59013,functional
48338,non functional
71276,functional
62998,functional
6708,functional
9969,functional
5567,functional
61598,functional
20745,non functional
72485,non functional
53890,functional
62984,non functional
56024,functional
64958,functional
36386,functional
12970,functional
63672,functional
1545,functional
68416,functional
53929,non functional
59291,non functional
20931,functional
18781,non functional
15430,functional needs repair
54042,non functional
56896,non functional
2579,non functional
65982,non functional
8486,non functional
15871,functional needs repair
36433,functional
65239,non functional
42513,functional needs repair
63248,functional
2959,functional
64833,non functional
54346,functional
12284,non functional
18056,functional
9415,functional
10574,functional
67761,functional
2413,non functional
60358,functional
72803,functional
71644,non functional
43929,functional
23370,functional
38121,non functional
71352,functional
26630,functional
72503,functional
36667,functional
13838,functional
73762,functional
56917,non functional
64901,non functional
11878,non functional
11761,non functional
22410,non functional
29102,functional
36539,non functional
9758,non functional
28981,functional
56273,functional
35854,non functional
38840,functional needs repair
32235,functional
36097,functional
54661,non functional
61700,non functional
71556,functional
9296,non functional
26823,functional
45401,functional
862,functional
12857,non functional
60984,functional
68476,functional
18299,functional
48846,functional
6446,functional
63522,functional
66298,functional
39348,functional
25325,functional
38166,functional
10753,non functional
6496,functional
66416,functional
47968,non functional
30436,functional
53608,non functional
66036,functional
46595,functional
18890,functional
1978,functional
10656,non functional
69297,functional
43482,non functional
43158,functional
18733,functional
27893,functional
72342,functional
37520,functional
11453,non functional
39911,functional needs repair
51620,functional
18133,non functional
4572,functional
55691,non functional
42966,functional
66569,functional
7200,functional needs repair
53136,functional
25723,non functional
66123,functional
7672,functional
37943,non functional
2142,functional
66405,non functional
13101,non functional
73963,functional
26444,functional needs repair
19007,functional
71761,functional
1467,non functional
35518,functional
32922,non functional
43852,non functional
29438,functional
56706,functional
39407,functional
58835,functional
43397,functional
9994,non functional
7622,functional
34194,functional
13045,functional
32959,functional
50876,functional
31094,non functional
37473,functional
61430,functional
47922,functional
52355,functional
65517,non functional
42861,non functional
59615,functional
28406,functional
3716,non functional
219,functional
2079,non functional
3612,functional
50670,functional
33118,functional needs repair
25722,functional
56582,non functional
7760,non functional
39295,functional
68787,functional
64264,functional
35160,non functional
49452,functional
53668,functional
67380,functional
45974,functional
11062,non functional
27946,functional
50414,functional
38773,functional
39624,functional
72477,non functional
61146,non functional
22496,functional
39554,non functional
23463,functional
26384,functional
42071,non functional
38972,functional
44617,non functional
32282,functional
8586,functional
36903,non functional
55556,functional
21436,functional
17030,non functional
51806,functional
44903,non functional
1957,non functional
20102,functional
39391,functional
10871,non functional
67815,functional
19183,non functional
17711,functional
59743,functional
11844,non functional
40062,non functional
40682,non functional
71690,functional
22833,non functional
16908,functional
43496,functional
62050,non functional
65634,functional
6309,functional
38784,functional
38329,non functional
69029,functional needs repair
25515,functional
30870,non functional
34228,functional needs repair
42698,functional
31674,functional
2848,functional
52616,functional
28760,non functional
1188,functional
13957,functional
20847,functional
39895,functional
44133,functional
47704,non functional
68173,functional
40526,functional
26285,non functional
67502,non functional
57809,functional
3915,non functional
69110,functional
21675,non functional
16738,functional
13627,functional
13404,functional
16649,non functional
8572,functional
71169,functional
71519,non functional
72287,non functional
19168,non functional
25981,non functional
33996,non functional
69749,functional
53037,functional
49611,functional
52353,functional
71599,functional needs repair
29631,non functional
54016,functional
71623,functional
67739,non functional
30275,functional
29073,functional
59974,functional
47612,non functional
15654,functional
12002,non functional
10489,non functional
49293,functional
23467,functional
6668,functional
6876,non functional
11289,functional
30283,non functional
55091,functional
26166,functional
3449,functional
7498,functional
62730,functional
68654,functional
5300,functional
22742,functional
2653,non functional
71210,functional
24301,functional
51174,functional
57324,functional
47760,non functional
34478,non functional
44012,functional
50314,functional
24528,functional
57041,functional
6407,functional
42635,non functional
73702,functional
67087,functional
7398,functional
20430,functional
60819,functional
59586,functional
49192,functional
39902,functional
52301,functional
50482,functional
36023,functional
42509,functional
42398,functional
56132,functional
37018,non functional
33205,functional
57405,non functional
66229,non functional
22953,functional
67348,functional
10496,functional
49208,non functional
29525,non functional
51648,functional
49307,non functional
6408,functional needs repair
53899,functional
46623,non functional
12537,functional
1365,non functional
54115,non functional
52656,functional
40498,functional
48970,non functional
56235,functional
36070,functional
63964,non functional
32271,functional
15011,non functional
38607,non functional
39836,non functional
65630,functional needs repair
58295,non functional
4210,functional needs repair
3161,functional
21846,non functional
28509,functional
20933,non functional
20195,functional
528,functional
55726,functional
39291,non functional
39436,functional
29216,functional
12682,non functional
48580,non functional
22504,non functional
54078,non functional
18687,functional
41128,functional
73213,non functional
52967,functional
73043,functional
23440,non functional
51098,non functional
37286,functional
3953,non functional
70347,functional
61706,functional
45392,non functional
12844,non functional
8890,functional
49091,functional
44085,functional
19625,non functional
44799,functional
36158,functional
36397,functional
13057,non functional
5874,functional
9067,functional
15956,functional
3693,functional
65220,functional
31365,functional
60072,functional needs repair
45524,functional
536,functional
21099,functional
45506,functional
39120,functional
66657,functional
20094,functional
20309,functional
49113,functional
44016,functional
7210,functional
34555,non functional
16088,non functional
25292,non functional
60748,functional
27452,functional
59367,functional
59662,non functional
63833,functional
63706,functional
40887,non functional
3501,functional
20532,functional
1386,functional
34149,functional
43398,functional
49223,functional
58176,functional
57623,functional
12860,functional
30913,non functional
45960,functional
34432,non functional
17486,non functional
65669,non functional
37837,non functional
73292,functional
11651,functional
29408,non functional
37866,functional
69690,functional
53995,non functional
53366,functional
39328,functional
2320,functional
67731,functional
57014,non functional
62940,functional
50725,functional
2855,non functional
25922,functional
19440,functional
31206,functional
2349,functional
57290,functional needs repair
9508,functional
66849,non functional
62431,functional
23245,non functional
21360,functional
44870,functional
64287,non functional
44968,functional
61846,non functional
49580,functional
15928,non functional
25900,non functional
31819,functional
48103,functional
49852,non functional
17098,non functional
1767,non functional
33791,non functional
60357,functional
27287,functional
50174,non functional
60161,non functional
10484,non functional
33521,functional
56320,functional
33643,non functional
22899,functional
63343,non functional
29869,non functional
41463,functional
23539,non functional
2230,non functional
26037,functional
375,non functional
39654,non functional
53096,functional
60168,functional
16990,functional
21007,functional
14315,functional
2177,non functional
49269,functional
4671,non functional
44176,non functional
40998,functional
7333,non functional
64091,non functional
68831,functional
42058,functional
7902,functional
65022,functional
28086,non functional
45360,functional
45083,functional
32905,functional
39259,functional
38013,functional
38895,functional
35123,non functional
7111,functional
35613,functional
49983,functional
7539,functional
70967,functional
37779,functional
17732,functional
40619,functional
13128,functional
62321,non functional
41884,non functional
22763,functional
56616,functional
48446,functional
59810,functional
15364,functional
28596,functional
16194,functional
63304,functional
18910,functional
60481,non functional
42567,non functional
44374,functional
1807,non functional
51223,functional
15702,non functional
11806,functional
54631,functional
27402,functional
3372,functional
64730,functional
17064,functional
26829,functional
9453,functional
67241,non functional
73217,non functional
66403,functional
48472,functional
64553,functional
24516,functional
20160,non functional
6966,functional
65057,non functional
17269,functional
11662,functional
27280,functional
39968,non functional
33060,non functional
50189,functional
8863,functional
18527,functional
49700,functional
71248,functional
52907,functional
7891,non functional
50648,functional
51640,non functional
56160,functional
61205,non functional
37237,functional
39476,functional
12645,functional
65423,functional
59104,non functional
12613,functional
20577,non functional
32896,functional
22800,functional
15436,functional
28147,non functional
62337,functional
46824,functional
37508,non functional
55768,non functional
60117,functional
59651,non functional
40212,functional
73448,functional
51073,non functional
5001,functional
33581,non functional
71443,non functional
52469,functional needs repair
56512,functional
36028,functional
22096,functional
48869,non functional
2988,functional
18857,functional
5138,functional
13512,functional
20209,non functional
48604,functional
66879,functional
40331,functional
49860,functional
43322,functional
13054,functional
51553,non functional
10459,non functional
58533,functional
31297,functional
63877,functional
42620,non functional
45603,functional
5494,functional
22161,functional
3807,non functional
9865,non functional
23557,non functional
48471,non functional
13087,non functional
67705,functional
31275,non functional
66376,functional
29811,functional
47938,functional
60613,functional
13300,non functional
42764,functional
62481,functional
5483,functional
72602,functional
72209,non functional
60017,non functional
320,functional needs repair
44190,functional needs repair
44812,non functional
19675,non functional
24619,functional
51059,functional
4253,functional
64624,functional
3451,non functional
28982,functional
11328,functional
41177,functional needs repair
15005,functional
42649,non functional
33997,non functional
9917,functional
55120,non functional
59177,non functional
17066,functional
8462,functional
28474,non functional
19611,functional
53689,non functional
69613,non functional
40335,functional needs repair
21223,functional
48646,non functional
58015,functional
56587,functional
47054,non functional
66850,non functional
19266,functional
41509,non functional
50766,functional
14113,functional
42577,functional
60521,functional
31241,functional
31095,functional
42850,functional
37852,functional
62257,functional
9974,functional
55266,functional
58758,functional
28508,functional
4268,non functional
29508,functional
51429,non functional
58930,functional
21969,non functional
37997,non functional
71748,functional
3149,functional
74152,functional
60368,functional
16858,functional
37670,functional
35354,non functional
7892,non functional
47875,functional
6277,non functional
1223,non functional
17318,functional
9651,non functional
889,functional
4613,functional
32108,non functional
17178,functional
72309,non functional
36341,non functional
7495,non functional
61011,functional
31353,functional
12647,functional
50067,functional
54404,functional
45856,functional
56731,functional
11704,functional
38790,non functional
36015,functional
2720,functional
40229,non functional
43850,functional
36182,functional
37563,functional
39146,non functional
28766,functional
67633,functional
24922,non functional
51987,non functional
52414,functional
21708,non functional
48070,functional
69586,non functional
16882,functional
23894,functional
18759,non functional
62851,functional
50087,functional
42665,non functional
11705,non functional
24892,non functional
26397,functional
15550,functional
37931,functional
52844,functional
8024,functional
40987,functional
48760,functional
23575,functional
10117,functional
10647,non functional
42722,functional
45067,non functional
60680,functional
54669,non functional
7919,functional
58595,functional
